Level,Original_HEX,Optimized_HEX,Original_L,Optimized_L,Original_C,Optimized_C,Original_H,Optimized_H
C10,#4D0040,#4D0040,15.2136,15.2136,43.0588,43.0588,335.4711,335.4711
C9,#730260,#660255,25.3625,21.9713,56.2714,51.5204,335.767,335.7009
C8,#990580,#96057E,34.8848,34.1163,68.8534,67.9192,335.925,335.8389
C7,#C009A1,#C908A9,44.2009,46.2613,81.3109,84.4119,335.9771,335.9027
C6,#E60FC2,#E60FC2,53.019,53.019,93.1553,93.1553,335.8049,335.8049
C5,#EB37CD,#EB47CE,56.8861,58.737,88.9318,83.5545,334.4409,334.5542
C4,#F061D8,#F47DDD,63.3727,68.8525,76.5581,64.6103,333.2942,333.3951
C3,#F58CE3,#FCAEED,72.0394,80.2356,58.241,42.4229,332.3005,332.3229
C2,#FAB9EF,#FFD5F7,82.5162,89.7568,36.4265,23.0925,331.1109,331.1337
C1,#FFE8FB,#FFE8FB,94.2863,94.2863,12.7195,12.7195,330.2006,330.2006
