Level,Original_HEX,Optimized_HEX,Original_L,Optimized_L,Original_C,Optimized_C,Original_H,Optimized_H
C10,#004D12,#004D12,27.7125,27.7125,44.4836,44.4836,141.2244,141.2244
C9,#006718,#035F17,37.4189,34.435,55.4663,51.592,140.3754,140.5017
C8,#00821E,#01801F,47.0506,46.5167,66.3493,65.3682,139.8152,139.9545
C7,#009D25,#00A426,56.3334,58.5984,76.4889,79.2233,139.6124,139.6576
C6,#00B82B,#00B82B,65.3209,65.3209,86.5684,86.5684,139.335,139.335
C5,#24C64A,#34C44D,70.3544,69.8419,81.4389,77.7059,142.3708,142.0514
C4,#4DD46D,#6CD67D,75.9256,77.8397,70.7636,60.2184,145.3715,144.8642
C3,#7CE394,#A3EAAF,82.5713,86.8399,55.2567,39.7372,147.6973,147.2449
C2,#AFF1BE,#D1F9D9,89.7386,94.3679,35.5942,21.8934,149.3997,149.1489
C1,#E8FFED,#E8FFED,97.9492,97.9492,12.3181,12.3181,150.5349,150.5349
