Level,Original_HEX,Optimized_HEX,Original_L,Optimized_L,Original_C,Optimized_C,Original_H,Optimized_H
C10,#00044D,#00044D,5.6223,5.6223,51.8588,51.8588,303.8012,303.8012
C9,#090E76,#141167,13.7071,12.7263,69.0498,58.6892,304.2921,303.8856
C8,#1A21A0,#2E2A9B,23.1499,25.4936,80.6561,71.9268,302.9806,302.6547
C7,#3038CA,#4645D3,33.3911,38.261,88.9052,85.2401,301.626,301.3937
C6,#4E56F4,#4E56F4,45.365,45.365,92.2981,92.2981,299.9876,299.9876
C5,#6C73F6,#5F6CFC,54.134,51.9462,74.9133,82.6361,297.0642,297.3792
C4,#8A8FF8,#898FFF,63.1966,63.5888,58.5626,63.5712,294.7389,295.0745
C3,#A9ADFB,#B4B7FF,73.0794,76.6904,42.3402,41.2425,292.4503,292.7572
C2,#C8CBFD,#D7D9FF,82.9569,87.649,26.4479,21.789,290.3099,290.5819
C1,#E8E9FF,#E8E9FF,92.8623,92.8623,11.3499,11.3499,289.3433,289.3433
