Level,Original_HEX,Optimized_HEX,Original_L,Optimized_L,Original_C,Optimized_C,Original_H,Optimized_H
C10,#00274D,#00274D,15.4165,15.4165,27.3669,27.3669,278.5952,278.5952
C9,#023C76,#083667,25.418,22.4315,38.6262,33.9505,281.4736,280.8366
C8,#0553A0,#0B529C,35.5091,35.039,48.5002,46.7098,281.9039,281.4112
C7,#0A6ACA,#0E70D4,45.1294,47.6464,57.89,59.5421,282.1804,281.8781
C6,#1082F4,#1082F4,54.6615,54.6615,66.345,66.345,281.9277,281.9277
C5,#3A98F6,#1E94FA,61.6594,60.3356,54.9255,59.2489,274.3589,275.163
C4,#64AEF8,#66B1FE,69.2947,70.3735,43.7321,45.247,268.0434,268.9755
C3,#8FC5FB,#A2CFFF,77.7176,81.6693,32.3092,28.848,263.1413,263.6775
C2,#BBDCFD,#D1E8FF,86.4251,91.1175,19.9678,14.5607,259.3904,259.2853
C1,#E8F4FF,#E8F4FF,95.6122,95.6122,6.8938,6.8938,254.1516,254.1516
