Level,Original_HEX,Optimized_HEX,Original_L,Optimized_L,Original_C,Optimized_C,Original_H,Optimized_H
C10,#33004D,#33004D,10.8466,10.8466,50.3806,50.3806,317.1341,317.1341
C9,#4F0276,#460268,20.0986,17.1202,67.3942,61.2079,316.6796,316.7809
C8,#6C05A0,#6A069C,28.9916,28.3951,83.9095,82.1914,316.5278,316.6323
C7,#8A0ACA,#910BD4,37.6345,39.67,99.4957,103.2951,316.5822,316.628
C6,#A810F4,#A810F4,45.9436,45.9436,114.4829,114.4829,316.618,316.618
C5,#B73AF6,#B840F8,51.5506,52.5686,103.7637,102.3695,317.1811,316.9047
C4,#C764F8,#CF75FD,59.9198,64.2886,85.3775,78.4673,317.1558,316.7576
C3,#D78FFB,#E4AAFF,70.2164,77.4775,62.9383,50.4732,316.5307,316.1834
C2,#E7BBFD,#F2D4FF,81.6323,88.509,38.1467,26.0839,315.8006,315.5429
C1,#F7E8FF,#F7E8FF,93.757,93.757,12.9961,12.9961,314.5833,314.5833
