Level,Original_HEX,Optimized_HEX,Original_L,Optimized_L,Original_C,Optimized_C,Original_H,Optimized_H
C10,#00404D,#00404D,24.3289,24.3289,18.3073,18.3073,225.4284,225.4284
C9,#026275,#035667,37.8991,33.3007,24.3722,22.1165,226.1096,225.9973
C8,#05849D,#068199,50.6488,49.4249,30.111,29.4988,226.4384,226.3386
C7,#09A6C5,#07AECE,62.8091,65.5491,35.602,36.9235,226.6287,226.5829
C6,#0FC8ED,#0FC8ED,74.5209,74.5209,40.8596,40.8596,226.7831,226.7831
C5,#38D2F1,#4AD0EE,78.0399,77.6879,39.2394,36.7894,222.4567,223.2168
C4,#62DCF4,#82DDF1,82.0064,83.2904,34.9454,28.7582,218.9176,220.0917
C3,#8EE6F8,#B2EBF8,86.5622,89.5951,27.7744,19.3521,217.7998,218.6247
C2,#BAF0FB,#D6F6FD,91.5597,94.8684,18.2484,11.1572,216.6187,217.1502
C1,#E8FBFF,#E8FBFF,97.3771,97.3771,6.7597,6.7597,216.5975,216.5975
