Level,Original_HEX,Optimized_HEX,Original_L,Optimized_L,Original_C,Optimized_C,Original_H,Optimized_H
C10,#4D4000,#4D4000,27.4214,27.4214,36.5031,36.5031,91.796,91.796
C9,#766200,#685702,42.1353,37.3357,49.2351,44.4925,91.0162,91.152
C8,#A08500,#9C8202,56.3374,55.1538,61.2824,59.9763,90.6887,90.8042
C7,#CAA800,#D4B000,69.8697,72.9719,72.7619,75.5487,90.4876,90.545
C6,#F4CB00,#F4CB00,82.8863,82.8863,83.8042,83.8042,90.3517,90.3517
C5,#F6D42D,#F4D339,85.4398,85.0448,78.7612,74.9658,92.5811,92.4704
C4,#F8DE5A,#F8DF6F,88.4194,88.8634,66.1522,57.5258,95.0323,94.8585
C3,#FBE889,#FCECA4,91.699,93.1605,48.7238,37.1002,97.0704,96.9956
C2,#FDF2B8,#FFF6D1,95.0975,96.7547,29.8164,19.3048,99.6479,99.472
C1,#FFFBE8,#FFFBE8,98.4645,98.4645,9.7555,9.7555,100.9222,100.9222
