Level,Original_HEX,Optimized_HEX,Original_L,Optimized_L,Original_C,Optimized_C,Original_H,Optimized_H
C10,#E8FFED,#E8FFED,97.9492,97.9492,12.3181,12.3181,150.5349,150.5349
C9,#AFF0BE,#CAF7D3,89.4631,93.4677,34.9934,24.5244,149.5511,149.3145
C8,#7BE093,#92E6A2,81.6347,84.4961,54.1517,46.437,147.8953,147.5136
C7,#50D46F,#52D16E,76.0309,75.2075,69.5422,68.0974,145.5113,145.2029
C6,#27C44C,#27C44C,69.7752,69.7752,79.5474,79.5474,142.7106,142.7106
C5,#1DB842,#24B443,65.6969,64.4316,78.1449,75.2612,142.1471,142.2377
C4,#139C33,#1C9635,56.2407,54.4846,70.7344,66.801,141.5612,141.7331
C3,#0A8226,#127625,47.1952,43.0032,63.2413,56.9775,141.0382,141.2671
C2,#04661B,#075B19,37.1279,33.0562,53.6544,48.6015,140.9465,141.1083
C1,#004D12,#004D12,27.7125,27.7125,44.4836,44.4836,141.2244,141.2244
