Level,Original_HEX,Optimized_HEX,Original_L,Optimized_L,Original_C,Optimized_C,Original_H,Optimized_H
C10,#E8E9FF,#E8E9FF,92.8623,92.8623,11.3499,11.3499,289.3433,289.3433
C9,#CACCFC,#D6D7FF,83.3209,87.0373,25.3662,21.9899,290.8501,290.8678
C8,#ACB0FA,#B0B3FF,74.0114,75.376,40.0697,41.0905,292.1005,292.3101
C7,#8F95F7,#8790FB,65.0005,63.3026,54.3867,59.9714,293.8051,294.0702
C6,#737AF5,#737AF5,56.2417,56.2417,69.9521,69.9521,296.2546,296.2546
C5,#5D64F4,#6A69DD,49.4604,49.811,83.3717,67.7404,298.5737,298.2764
C4,#3840C9,#504BB3,35.4451,37.8405,83.2804,63.3748,300.5478,300.1383
C3,#1F25A1,#322B85,24.2789,24.0235,78.7363,58.3058,302.5206,302.0263
C2,#0B1075,#151260,13.9755,12.053,67.4462,53.9837,303.9434,303.5023
C1,#00044D,#00044D,5.6223,5.6223,51.8588,51.8588,303.8012,303.8012
