Level,HEX,L,C,H
C10,#350930,10.2474,30.1482,331.927
C9,#590C4D,19.7238,44.9943,334.1721
C8,#870C72,31.054,61.9701,335.4056
C7,#B90C9B,42.6738,78.7867,335.8694
C6,#E60FC2,53.019,93.1553,335.8049
C5,#F94AE1,62.0948,90.425,332.6378
C4,#FF82F5,72.2552,72.2688,329.7397
C3,#FFB1FD,81.8885,47.8249,327.3888
C2,#FED3FD,89.383,26.2315,325.8632
C1,#FEE3FE,93.1269,16.6266,325.4414
