Level,HEX,L,C,H
C10,#3E3000,20.5495,30.898,88.2589
C9,#5F4D00,33.3607,42.7108,90.1401
C8,#8D7500,49.8335,56.6019,90.7261
C7,#C2A100,67.2485,70.8676,90.6017
C6,#F4CB00,82.8863,83.8042,90.3517
C5,#FFD515,86.6334,85.0127,89.6969
C4,#FFDF52,90.319,71.4407,89.4132
C3,#FFE98A,93.6142,50.671,89.3378
C2,#FFF2BA,96.1898,30.2862,89.3082
C1,#FFF7D6,97.7167,17.8689,89.1619
