Level,Original_HEX,Optimized_HEX,Original_L,Optimized_L,Original_C,Optimized_C,Original_H,Optimized_H
C10,#FFFBE8,#FFFBE8,98.4645,98.4645,9.7555,9.7555,100.9222,100.9222
C9,#FCF1B8,#FFF5CA,94.7674,96.3809,29.3398,22.0696,99.5463,99.4102
C8,#FAE789,#FCE994,91.363,92.2094,48.2781,44.1758,97.007,96.9701
C7,#F7DE5E,#F6DD59,88.3657,87.8906,64.4066,66.0276,95.3175,95.125
C6,#F5D431,#F5D431,85.3649,85.3649,77.5788,77.5788,92.8462,92.8462
C5,#F4D227,#DEBF29,84.7287,78.0037,79.5991,72.5577,92.5477,92.5818
C4,#C9AC18,#B59B1D,70.8647,64.3012,70.0322,62.6469,92.3315,92.3637
C3,#A1880D,#877210,57.2853,48.485,59.8593,51.1392,91.6531,91.8182
C2,#756305,#605105,42.3342,34.7825,48.0588,41.327,92.1771,92.1182
C1,#4D4000,#4D4000,27.4214,27.4214,36.5031,36.5031,91.796,91.796
