Level,Original_HEX,Optimized_HEX,Original_L,Optimized_L,Original_C,Optimized_C,Original_H,Optimized_H
C10,#E8F0FF,#E8F0FF,94.6088,94.6088,8.1179,8.1179,271.1229,271.1229
C9,#BBD1FC,#CBDDFF,83.5433,87.8645,23.5401,19.9813,274.6009,274.7826
C8,#8CB1FA,#92B7FF,72.1743,74.3628,40.6045,41.2783,278.6391,279.0878
C7,#6093F7,#518FFD,61.7115,60.384,56.665,62.3302,283.2767,283.8126
C6,#3676F5,#3676F5,52.2087,52.2087,73.4585,73.4585,289.1464,289.1464
C5,#2C6FF4,#3668DE,50.0168,46.9856,77.3578,68.99,290.6067,290.3513
C4,#1A55C9,#2C51B3,39.465,37.263,70.296,60.1699,291.9834,291.5351
C3,#0E3FA1,#1D3885,29.9616,26.0406,62.1005,49.9285,293.2422,292.6487
C2,#052A75,#0D245F,19.9311,16.3179,50.4701,41.1961,293.9407,293.3577
C1,#001A4D,#001A4D,11.0948,11.0948,36.903,36.903,292.6064,292.6064
