Level,HEX,L,C,H
C10,#250B3E,8.7079,36.7687,312.7278
C9,#3F0E62,16.8626,54.6881,314.8959
C8,#620F92,26.8023,75.9411,316.1683
C7,#880DC5,37.0037,97.0365,316.693
C6,#A810F4,45.9436,114.4829,316.618
C5,#B64FFF,56.2713,109.7797,312.977
C4,#C683FF,67.9697,87.3771,309.6917
C3,#D9B1FF,79.119,57.909,307.0606
C2,#E8D2FF,87.7993,32.0092,305.3824
C1,#F0E2FF,92.0911,20.3116,304.9558
