Level,Original_HEX,Optimized_HEX,Original_L,Optimized_L,Original_C,Optimized_C,Original_H,Optimized_H
C10,#E8F4FF,#E8F4FF,95.6122,95.6122,6.8938,6.8938,254.1516,254.1516
C9,#BBDCFC,#CCE6FF,86.3936,90.0534,19.5411,15.8178,258.4753,258.6142
C8,#8CC3FA,#94C8FE,76.9836,78.9249,32.9055,31.8378,263.3898,263.7875
C7,#60ACF7,#54A9FA,68.536,67.4032,44.3874,47.6735,268.164,268.8626
C6,#3695F5,#3695F5,60.6649,60.6649,56.0445,56.0445,275.2792,275.2792
C5,#2C90F4,#3385DE,58.9835,54.8727,58.3535,52.6208,276.7194,276.5341
C4,#1A72C9,#2969B4,47.5837,44.0906,52.5997,45.8631,278.2427,277.8975
C3,#0E58A1,#194B86,37.1968,31.6453,45.9568,38.0165,279.4401,279.0497
C2,#053D75,#0A3260,25.7235,20.8633,37.3426,31.326,280.4322,280.0413
C1,#00264D,#00264D,15.0711,15.0711,28.0368,28.0368,279.9515,279.9515
