Level,Original_HEX,Optimized_HEX,Original_L,Optimized_L,Original_C,Optimized_C,Original_H,Optimized_H
C10,#FFE8FB,#FFE8FB,94.2863,94.2863,12.7195,12.7195,330.2006,330.2006
C9,#FAB9EF,#FFCFF6,82.5162,88.2866,36.4265,26.6572,331.1109,331.1409
C8,#F589E3,#FA9DE9,71.4551,76.2753,59.9829,51.6779,332.2061,332.2734
C7,#F05DD7,#F262D9,62.7298,63.8396,78.0911,76.4107,333.4994,333.5445
C6,#EB34CC,#EB34CC,56.5669,56.5669,89.4848,89.4848,334.6602,334.6602
C5,#E629C7,#D62CB9,54.5913,51.3133,90.3903,83.8096,334.7256,334.7488
C4,#BF19A4,#AE1F96,44.8778,41.5341,79.9116,72.608,334.9431,334.9526
C3,#990E82,#83106F,35.3994,30.2464,68.1906,59.6013,335.2712,335.2368
C2,#730560,#5F044F,25.5596,20.4671,55.6161,48.511,335.8133,335.6678
C1,#4D0040,#4D0040,15.2136,15.2136,43.0588,43.0588,335.4711,335.4711
