Level,Original_HEX,Optimized_HEX,Original_L,Optimized_L,Original_C,Optimized_C,Original_H,Optimized_H
C10,#F7E8FF,#F7E8FF,93.757,93.757,12.9961,12.9961,314.5833,314.5833
C9,#E7BBFC,#F0CDFF,81.5976,86.9164,37.6704,29.6702,316.1158,315.8314
C8,#D58CFA,#DD99FF,69.3305,73.2218,64.1184,59.6032,316.4739,316.2937
C7,#C560F7,#C65FFA,58.9299,59.0435,86.9634,89.1918,317.1876,317.005
C6,#B536F5,#B536F5,50.7515,50.7515,104.8327,104.8327,317.1634,317.1634
C5,#B12CF4,#A32EDE,49.1061,45.6819,107.8221,98.1765,317.0854,317.1073
C4,#8F1AC9,#8220B4,39.234,36.2452,95.6423,85.0383,317.0579,317.0861
C3,#700EA1,#5E1186,30.2352,25.3528,82.335,69.783,316.8803,316.9598
C2,#500575,#410560,20.4337,15.9161,65.9569,56.7754,316.9326,316.9946
C1,#33004D,#33004D,10.8466,10.8466,50.3806,50.3806,317.1341,317.1341
