Level,Original_HEX,Optimized_HEX,Original_L,Optimized_L,Original_C,Optimized_C,Original_H,Optimized_H
C10,#FFE8EA,#FFE8EA,93.8465,93.8465,8.3564,8.3564,12.9864,12.9864
C9,#FCC0C5,#FFD0D4,83.141,88.0478,22.9585,19.7795,14.7894,15.0423
C8,#FA98A1,#FFA0A8,73.1271,76.4391,39.288,40.2861,16.3792,17.1133
C7,#F7727D,#FE6C79,64.3989,64.4202,55.2201,60.5568,20.1334,20.6995
C6,#F54C5A,#F54C5A,57.3911,57.3911,71.2722,71.2722,24.6665,24.6665
C5,#F43D4C,#DD434C,55.1735,51.7743,77.2095,67.2605,26.9879,26.48
C4,#C92634,#B33137,44.3126,41.3188,70.9043,59.342,28.8503,28.0108
C3,#A1131F,#851D21,34.2814,29.2504,63.9213,50.1476,31.4223,30.051
C2,#750710,#5F0B0F,23.5804,18.7948,52.262,42.308,32.8274,31.2617
C1,#4D0006,#4D0006,13.178,13.178,38.4538,38.4538,28.2368,28.2368
