Level,HEX,L,C,H
C10,#00313B,18.0163,15.3538,225.1559
C9,#004857,27.7517,19.8932,226.5929
C8,#006F85,42.9429,26.9177,227.1651
C7,#029DBC,59.797,34.5367,227.1395
C6,#0FC8ED,74.5209,40.8596,226.7831
C5,#1FD7F9,79.3288,41.9647,223.4292
C4,#60E5FF,84.8982,37.2738,221.5127
C3,#95F1FF,90.298,29.0336,220.6511
C2,#C0F9FF,94.5974,19.4911,220.4617
C1,#DDFBFF,96.8652,10.8929,220.5622
