Level,Original_HEX,Optimized_HEX,Original_L,Optimized_L,Original_C,Optimized_C,Original_H,Optimized_H
C10,#FFF4E8,#FFF4E8,96.7338,96.7338,7.2906,7.2906,76.63,76.63
C9,#FCDCBB,#FFE5C8,89.6137,92.5293,21.2365,18.4292,73.0106,73.2983
C8,#FAC38C,#FFC78E,82.5137,84.1122,37.4235,38.425,69.8786,70.1425
C7,#F7AC60,#F9A855,76.148,75.3976,53.3595,58.1907,67.9478,67.8276
C6,#F59536,#F59536,70.3011,70.3011,68.6391,68.6391,64.8866,64.8866
C5,#F4902C,#DE852F,69.0161,63.8982,71.7602,64.2652,64.4024,64.3842
C4,#C9721A,#B56A22,56.6147,51.9796,64.7093,55.6319,63.8235,63.7821
C3,#A1580E,#864B15,45.0679,38.2224,56.2713,45.6074,63.2483,63.1714
C2,#753D05,#603309,32.1042,26.3038,45.4933,37.06,62.7506,62.6261
C1,#4D2600,#4D2600,19.901,19.901,32.8579,32.8579,61.7908,61.7908
